UF,2006,2007,2008
Rondonia,272.33,212.64,365.9
Acre,39.61,75.06,313.64
Amazonas,19.33,61.37,222.77
Roraima,251.89,212.15,1207.9
Para,92.46,199.51,207.57
Amapa,300.3,562,194.89
Tocantins,445.8,949.38,778.75
Maranhao,83.61,213.56,87.94
Piaui,158.35,315.19,74.81
Ceara,346.33,414.13,576.56
Rio Grande do Norte,275.42,432.22,916.58
Paraiba,85.17,296.83,208.14
Pernambuco,103.34,262.17,210.84
Alagoas,103.88,344.34,418.38
Sergipe,57.48,73.87,1065.53
Bahia,49,68.23,235.61
Minas Gerais,154.3,143.85,247.78
Espirito Santo,292.21,194.62,753.75
Rio de Janeiro,171.07,367.03,1242.98
Sao Paulo,150.24,275.96,28.06
Parana,12.03,258.73,17.3
Santa Catarina,1.02,2.51,1.55
Rio Grande do Sul,0.64,3.84,1.2
Mato Grosso do Sul,538.56,2971.38,32.19
Mato Grosso,348.55,564.59,222.81
Goias,424.45,257.52,605.95
Distrito Federal,21.77,46.88,45.48
